code_zone_iso3,zone,dispo_alim_vol_kg_pers_an,dispo_int_vol_kt,population_m,pib_M_usd,pib_usd_pers,prod_vol_kt,import_vol_kt,import_tot_pct,taux_croissance_pop,pol_stab,dist_to_france
AFG,Afghanistan,1.76,64.0,35643.418,18896.352021,530.1498307766107,28.0,29.0,34.33129247879571,3.243429695326716,-2.80108380317688,5585.5798251017995
AGO,Angola,10.65,318.0,30208.628,122123.858628,4042.6814030746445,40.0,277.0,15.467797013613602,3.74767028644607,-0.380449026823044,6550.284834251107
ALB,Albanie,11.45,33.0,2879.355,13019.729856,4521.752217423694,13.0,20.0,15.428976826726071,-0.32987502928600865,0.378474771976471,1549.1519491283493
ARE,Émirats arabes unis,25.97,492.0,9068.296,385605.506855,42522.377617029706,57.0,465.0,91.90745385664565,4.440597850176675,0.618641376495361,5240.398412578913
ARG,Argentine,44.66,1962.0,44054.616,643628.396191,14609.78336960195,2162.0,8.0,1.6203501715616988,1.0015090076906263,0.169504255056381,11440.718227026968
ARM,Arménie,15.38,45.0,2851.923,11527.458713,4041.995072447608,11.0,35.0,18.398973110262972,-0.5194665548955979,-0.620771169662476,3505.829500490653
ATG,Antigua-et-Barbuda,57.31,6.0,91.119,1467.977778,16110.556283541304,0.0,7.0,82.45086705202311,1.058078418975339,0.748045027256012,6665.422539456615
AUS,Australie,50.63,1245.0,24590.334,1416783.718751,57615.472760597724,1271.0,16.0,4.601875312832596,1.6730354139419479,0.896060824394226,15157.394754442812
AUT,Autriche,18.2,172.0,8797.496,417261.151845,47429.535841221186,148.0,110.0,33.789269925972434,0.5902121952481298,1.04683256149292,950.2927837852433
AZE,Azerbaïdjan,13.11,129.0,10071.567,40866.632048,4057.624007068612,104.0,27.0,20.16883432294589,1.268920388944661,-0.747919917106628,3697.2711212967306
BDI,Burundi,0.49,5.0,11155.593,3297.826848,295.6209363321161,6.0,0.0,3.7425726742941006,3.4527437271351546,-2.00786924362183,6134.947069691858
BEL,Belgique,11.19,155.0,11384.489,502764.720556,44162.256255506945,463.0,312.0,57.382431357681796,0.6656541627515722,0.428185820579529,503.97490928820696
BEN,Bénin,11.08,124.0,11596.779,12701.655846,1095.2744590545358,14.0,113.0,22.463758817012504,2.977743293553514,0.0308955386281013,4092.118743826664
BFA,Burkina Faso,2.17,42.0,19835.858,14106.955625,711.1845439204092,42.0,0.0,8.725156999197154,3.001861499218683,-0.926977336406708,3784.7418108348847
BGD,Bangladesh,1.61,258.0,161793.964,245633.488923,1518.1869758936125,249.0,0.0,17.708781110302453,1.1623722304634931,-1.2560807466507,8009.310662694971
BGR,Bulgarie,22.05,157.0,7182.428,59200.845118,8242.455770945424,107.0,108.0,16.06481167733854,-0.7179291748165229,0.332049906253815,1884.436180876464
BHS,Bahamas,51.68,21.0,399.02,12359.749424,30975.26295423788,7.0,26.0,55.766069262902576,1.1001268859947233,0.98958545923233,7268.655077650968
BIH,Bosnie-Herzégovine,18.74,63.0,3440.027,18080.610875,5255.950280332102,61.0,10.0,36.900170728380836,-1.5162090760248215,-0.348237305879593,1242.5277382651614
BLR,Bélarus,28.02,266.0,9707.876,54725.418814,5637.218565008453,463.0,21.0,10.668894956454256,-0.1208568506325669,-0.0534833818674088,2010.825633183941
BLZ,Belize,25.68,19.0,374.693,1844.906692,4923.782114958112,20.0,0.0,3.626984494915226,2.344998298374268,0.0357257314026356,8702.55202295713
BOL,Bolivie (État plurinational de),45.28,507.0,11435.533,37508.683068,3280.0117902681054,507.0,1.0,5.227306049351512,1.6479363324499952,-0.278028756380081,9549.87439287153
BRA,Brésil,47.65,9902.0,208504.96,2063514.688762,9896.7175109983,14168.0,3.0,1.4014351210998925,0.8924060641714915,-0.473864614963531,8609.232423211328
BRB,Barbade,46.04,17.0,279.187,4985.965,17858.872368699114,16.0,2.0,50.502501817559775,0.28165542176987746,0.966827690601349,6795.506486213571
BWA,Botswana,3.37,7.0,2401.84,17405.496707,7246.734464826966,5.0,3.0,64.69142467466045,2.0174536004364363,1.02250838279724,7923.256278021296
