Code Domaine,Domaine,Code zone (ISO3),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","AFG","Afghanistan","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","18896.352021","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","ZAF","Afrique du Sud","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","349006.689642","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","ALB","Albanie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","13019.729856","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","DZA","Algérie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","170096.984537","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","DEU","Allemagne","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","3690849.152518","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","AND","Andorre","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","3000.160225","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","AGO","Angola","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","122123.858628","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","AIA","Anguilla","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","281.055556","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","ATG","Antigua-et-Barbuda","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","1467.977778","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","SAU","Arabie saoudite","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","688586.094413","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","ARG","Argentine","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","643628.396191","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","ARM","Arménie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","11527.458713","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","ABW","Aruba","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","3092.430168","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","AUS","Australie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","1416783.718751","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","AUT","Autriche","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","417261.151845","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","AZE","Azerbaïdjan","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","40866.632048","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","BHS","Bahamas","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","12359.749424","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","BHR","Bahreïn","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","35473.785362","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","BGD","Bangladesh","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","245633.488923","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","BRB","Barbade","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","4985.965","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","BLR","Bélarus","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","54725.418814","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","BEL","Belgique","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","502764.720556","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","BLZ","Belize","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","1844.906692","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","BEN","Bénin","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","12701.655846","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","BMU","Bermudes","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","7142.316","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","BTN","Bhoutan","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","2450.366316","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","BOL","Bolivie (État plurinational de)","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","37508.683068","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","BIH","Bosnie-Herzégovine","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","18080.610875","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","BWA","Botswana","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","17405.496707","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","BRA","Brésil","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","2063514.688762","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","BRN","Brunéi Darussalam","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","12128.166606","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","BGR","Bulgarie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","59200.845118","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","BFA","Burkina Faso","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","14106.955625","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","BDI","Burundi","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","3297.826848","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","CPV","Cabo Verde","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","1769.786532","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","KHM","Cambodge","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","22177.200626","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","CMR","Cameroun","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","35009.259798","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","CAN","Canada","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","1649518.967468","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","CHL","Chili","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","277034.678676","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","CHN","Chine","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","12702190.669259","E","Valeur estimée",""
"MK","Indicateurs macro","HKG","Chine - RAS de Hong-Kong","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","341241.97222","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","MAC","Chine - RAS de Macao","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","50456.759225","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","F41","Chine, continentale","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","12310491.937814","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","CYP","Chypre","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","22870.734322","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","COL","Colombie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","311883.730442","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","COM","Comores","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","1077.439756","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","COG","Congo","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","11011.6519","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","CRI","Costa Rica","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","60516.044623","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","CIV","Côte d'Ivoire","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","51588.154312","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","HRV","Croatie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","56214.432403","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","CUB","Cuba","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","96851","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","CUW","Curaçao","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","3116.629207","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","DNK","Danemark","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","332121.063806","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","DJI","Djibouti","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","2766.868072","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","DMA","Dominique","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","520.7","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","EGY","Égypte","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","195135.299313","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","SLV","El Salvador","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","24979.19","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","ARE","Émirats arabes unis","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","385605.506855","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","ECU","Équateur","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","104295.862","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","ERI","Érythrée","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","1903.966833","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","ESP","Espagne","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","1312539.279462","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","EST","Estonie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","26924.385103","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","SWZ","Eswatini","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","4401.526105","X","Ciffre de sources internationales",""
